,elapsed,accuracy,targ_std,targ_mean,train_loss,valid_loss,model,leak,sub,maxv
51,34.368295,0.857200026512146,0.5,0.0,0.34453202652931214,0.391700433588028,get_model_fc,0.1,-0.1,
52,34.685577,0.8450000286102295,0.5,0.0,0.35887341391245525,0.4333654720067978,get_model_fc,0.1,0.1,3.0
53,34.689806,0.8482000231742859,0.5,0.0,0.344256502532959,0.4130456439971924,get_model_fc,0.1,0.1,5.0
54,34.362115,0.8490999937057495,0.5,0.0,0.3457014519850413,0.43142275958061216,get_model_fc,0.1,0.1,
55,34.738662,0.8557999730110168,0.5,0.0,0.3517977553049723,0.4036820745944977,get_model_fc,0.1,0.2,3.0
56,34.716446,0.8546000123023987,0.5,0.0,0.3401431216239929,0.39939102840423585,get_model_fc,0.1,0.2,5.0
57,34.39821,0.8540999889373779,0.5,0.0,0.34900278666814166,0.3991676743507385,get_model_fc,0.1,0.2,
58,34.616373,0.8478999733924866,0.5,0.0,0.36769615755081175,0.4192242532968521,get_model_fc,0.1,,3.0
59,34.634454,0.8546000123023987,0.5,0.0,0.3435309441884359,0.401286553645134,get_model_fc,0.1,,5.0
60,34.329124,0.8598999977111816,0.5,0.0,0.34372633419036863,0.40032688808441164,get_model_fc,0.1,,
61,34.686676,0.8565000295639038,0.5,0.0,0.3620088518778483,0.4020783666133881,get_model_fc,0.4,-0.1,3.0
62,34.701975,0.8529999852180481,0.5,0.0,0.3673539826075236,0.41329313910007476,get_model_fc,0.4,-0.1,5.0
63,34.361412,0.8521000146865845,0.5,0.0,0.3724128484408061,0.40886273930072786,get_model_fc,0.4,-0.1,
64,34.685364,0.8536999821662903,0.5,0.0,0.37084182977676394,0.40784318199157715,get_model_fc,0.4,0.1,3.0
65,34.671682,0.8343999981880188,0.5,0.0,0.3656919380823771,0.45827361674308775,get_model_fc,0.4,0.1,5.0
66,34.369762,0.8496999740600586,0.5,0.0,0.37379051065444946,0.4303216076612473,get_model_fc,0.4,0.1,
67,34.726655,0.8463000059127808,0.5,0.0,0.3716185839017232,0.4289237054347992,get_model_fc,0.4,0.2,3.0
68,34.653471,0.8370000123977661,0.5,0.0,0.3675274982452393,0.44261270327568053,get_model_fc,0.4,0.2,5.0
69,34.418361,0.8424000144004822,0.5,0.0,0.37302079594930015,0.43491304240226747,get_model_fc,0.4,0.2,
70,34.59833,0.8446999788284302,0.5,0.0,0.3658946268081665,0.4306038245201111,get_model_fc,0.4,,3.0
71,34.647196,0.8492000102996826,0.5,0.0,0.371251664797465,0.41771229472160337,get_model_fc,0.4,,5.0
72,34.409126,0.8302000164985657,0.5,0.0,0.37208413513501487,0.4598164336204529,get_model_fc,0.4,,
73,34.335329,0.10000000149011612,0.5,0.0,2.3027178029378255,2.302631893157959,get_model_fc,,,
74,40.207439,0.8456000089645386,0.5,0.5,0.38418868656158445,0.4217197685241699,get_model_conv,-0.1,-0.1,3.0
75,40.65163,0.850600004196167,0.5,0.5,0.3829900308609009,0.41265793280601504,get_model_conv,-0.1,-0.1,5.0
76,39.511174,0.8414999842643738,0.5,0.5,0.39870843121210736,0.434884460067749,get_model_conv,-0.1,-0.1,
77,40.644128,0.8590999841690063,0.5,0.5,0.3712453710873922,0.39181922008991243,get_model_conv,-0.1,0.1,3.0
78,40.677032,0.8501999974250793,0.5,0.5,0.38040036160151164,0.41267100794315337,get_model_conv,-0.1,0.1,5.0
79,39.428051,0.8568999767303467,0.5,0.5,0.36828774223327637,0.38637334637641907,get_model_conv,-0.1,0.1,
80,40.642023,0.8622000217437744,0.5,0.5,0.3739800196011861,0.3818617498636246,get_model_conv,-0.1,0.2,3.0
81,40.770619,0.8476999998092651,0.5,0.5,0.38092564978599547,0.4112911849498749,get_model_conv,-0.1,0.2,5.0
82,39.374378,0.859499990940094,0.5,0.5,0.36121995922724404,0.3914717403888702,get_model_conv,-0.1,0.2,
83,40.381378,0.8537999987602234,0.5,0.5,0.37089648049672447,0.3904343673944473,get_model_conv,-0.1,,3.0
84,40.303831,0.857699990272522,0.5,0.5,0.3737232322692871,0.3952110949754715,get_model_conv,-0.1,,5.0
85,39.168055,0.8392000198364258,0.5,0.5,0.39059875701268515,0.4330990701675415,get_model_conv,-0.1,,
86,40.452388,0.8478999733924866,0.5,0.5,0.38381735531489053,0.4166928873538971,get_model_conv,0.1,-0.1,3.0
87,40.510272,0.8547000288963318,0.5,0.5,0.3826766330718994,0.40649959492683413,get_model_conv,0.1,-0.1,5.0
88,39.471313,0.8568999767303467,0.5,0.5,0.3905143129348755,0.39897885580062864,get_model_conv,0.1,-0.1,
89,40.481523,0.8614000082015991,0.5,0.5,0.37494637591044105,0.38456030037403105,get_model_conv,0.1,0.1,3.0
90,40.687165,0.8586999773979187,0.5,0.5,0.3754150553385417,0.4019550219297409,get_model_conv,0.1,0.1,5.0
91,39.480237,0.8539999723434448,0.5,0.5,0.3764620429039002,0.40544616944789885,get_model_conv,0.1,0.1,
92,40.710887,0.8518999814987183,0.5,0.5,0.3820733889579773,0.4153915551662445,get_model_conv,0.1,0.2,3.0
93,40.719612,0.8526999950408936,0.5,0.5,0.37698057397206625,0.4066290476322174,get_model_conv,0.1,0.2,5.0
94,39.528817,0.8547000288963318,0.5,0.5,0.38128329200744626,0.4044292671203613,get_model_conv,0.1,0.2,
95,40.519108,0.8601999878883362,0.5,0.5,0.37828655036290487,0.38493277897834777,get_model_conv,0.1,,3.0
96,40.597571,0.8465999960899353,0.5,0.5,0.3771545795440674,0.44283893299102783,get_model_conv,0.1,,5.0
97,39.146934,0.8582000136375427,0.5,0.5,0.3771747704188029,0.38710131735801695,get_model_conv,0.1,,
98,40.841004,0.8472999930381775,0.5,0.5,0.3964881735801697,0.43044601457118986,get_model_conv,0.4,-0.1,3.0
99,40.806268,0.8507999777793884,0.5,0.5,0.3969380965868632,0.41843206300735475,get_model_conv,0.4,-0.1,5.0
100,39.473534,0.8393999934196472,0.5,0.5,0.3995659998257955,0.4468089288711548,get_model_conv,0.4,-0.1,
101,40.566061,0.8449000120162964,0.5,0.5,0.3983596878687541,0.42806640849113464,get_model_conv,0.4,0.1,3.0
102,40.515496,0.8514000177383423,0.5,0.5,0.3977304468472799,0.40895234174728395,get_model_conv,0.4,0.1,5.0
103,39.435982,0.8475000262260437,0.5,0.5,0.3944100317001343,0.41468229694366454,get_model_conv,0.4,0.1,
104,40.590936,0.8489000201225281,0.5,0.5,0.3880662979443868,0.41975407905578616,get_model_conv,0.4,0.2,3.0
105,40.491514,0.8406999707221985,0.5,0.5,0.41028991721471153,0.4332746728897095,get_model_conv,0.4,0.2,5.0
106,39.476513,0.8472999930381775,0.5,0.5,0.40688022038141886,0.42789846754074096,get_model_conv,0.4,0.2,
107,40.278155,0.8544999957084656,0.5,0.5,0.39466498476664225,0.4118558660984039,get_model_conv,0.4,,3.0
108,40.377042,0.8427000045776367,0.5,0.5,0.3999535233179728,0.43071794323921203,get_model_conv,0.4,,5.0
109,39.157209,0.8432999849319458,0.5,0.5,0.41673905607859296,0.43301757128238677,get_model_conv,0.4,,
110,38.911914,0.855400025844574,0.5,0.5,0.3911323108673096,0.3968094648838043,get_model_conv,,,
111,34.67794,0.8497999906539917,0.5,0.5,0.35872155378659565,0.4059928217887878,get_model_fc,-0.1,-0.1,3.0
112,34.66346,0.8619999885559082,0.5,0.5,0.34235211203893023,0.38885645632743837,get_model_fc,-0.1,-0.1,5.0
113,34.398794,0.8611000180244446,0.5,0.5,0.344870352935791,0.3830017154455185,get_model_fc,-0.1,-0.1,
114,34.693868,0.8614000082015991,0.5,0.5,0.3464206118583679,0.3861381404042244,get_model_fc,-0.1,0.1,3.0
115,34.733564,0.8633999824523926,0.5,0.5,0.3400149567604065,0.37968320779800413,get_model_fc,-0.1,0.1,5.0
116,34.410508,0.857699990272522,0.5,0.5,0.3427266330083211,0.3978030119419098,get_model_fc,-0.1,0.1,
117,34.753692,0.8500999808311462,0.5,0.5,0.3503218451658885,0.40715248613357546,get_model_fc,-0.1,0.2,3.0
118,34.772663,0.8604999780654907,0.5,0.5,0.3427371198018392,0.3858126935005188,get_model_fc,-0.1,0.2,5.0
119,34.40084,0.8510000109672546,0.5,0.5,0.3463648673693339,0.4070329224586487,get_model_fc,-0.1,0.2,
120,34.666663,0.8460999727249146,0.5,0.5,0.3535592856566111,0.42763225536346433,get_model_fc,-0.1,,3.0
121,34.639507,0.859000027179718,0.5,0.5,0.3437335011005402,0.38656310074329375,get_model_fc,-0.1,,5.0
122,34.261314,0.8485999703407288,0.5,0.5,0.34570132336616516,0.42917599201202394,get_model_fc,-0.1,,
123,34.703632,0.8440999984741211,0.5,0.5,0.34763076702753704,0.4265562922477722,get_model_fc,0.1,-0.1,3.0
124,34.660512,0.8600999712944031,0.5,0.5,0.3464659036954244,0.38964184703826904,get_model_fc,0.1,-0.1,5.0
125,34.362939,0.8447999954223633,0.5,0.5,0.34957531175613404,0.4201557213306427,get_model_fc,0.1,-0.1,
126,34.712166,0.8610000014305115,0.5,0.5,0.34828114048639935,0.3845067596435547,get_model_fc,0.1,0.1,3.0
127,34.660283,0.8626999855041504,0.5,0.5,0.35108224527041115,0.381513111782074,get_model_fc,0.1,0.1,5.0
128,34.344007,0.8550000190734863,0.5,0.5,0.3458176595369975,0.40010726809501646,get_model_fc,0.1,0.1,
129,34.708361,0.8551999926567078,0.5,0.5,0.3541139121055603,0.40133488349914553,get_model_fc,0.1,0.2,3.0
130,34.680899,0.8543000221252441,0.5,0.5,0.34806257390975953,0.4051868709087372,get_model_fc,0.1,0.2,5.0
131,34.393072,0.8539000153541565,0.5,0.5,0.3505964806079864,0.40102552514076234,get_model_fc,0.1,0.2,
132,34.574177,0.8550000190734863,0.5,0.5,0.3489024506251017,0.4033440797328949,get_model_fc,0.1,,3.0
133,34.632295,0.8458999991416931,0.5,0.5,0.34582042984962463,0.41779893951416014,get_model_fc,0.1,,5.0
134,34.291859,0.8598999977111816,0.5,0.5,0.34971446571350095,0.38648713104724886,get_model_fc,0.1,,
135,34.766273,0.8389000296592712,0.5,0.5,0.3636733700752258,0.439987983083725,get_model_fc,0.4,-0.1,3.0
136,34.818622,0.8514999747276306,0.5,0.5,0.369981266562144,0.4117413788795471,get_model_fc,0.4,-0.1,5.0
137,34.399046,0.8485000133514404,0.5,0.5,0.3800348724683126,0.4167527603149414,get_model_fc,0.4,-0.1,
138,34.644337,0.8496000170707703,0.5,0.5,0.36813706038792926,0.41173871631622316,get_model_fc,0.4,0.1,3.0
139,34.681146,0.8495000004768372,0.5,0.5,0.36759236688613894,0.4124871212244034,get_model_fc,0.4,0.1,5.0
140,34.347203,0.8450000286102295,0.5,0.5,0.3790126620610555,0.42866535544395445,get_model_fc,0.4,0.1,
141,34.716617,0.8514999747276306,0.5,0.5,0.3646502737681071,0.41247948565483095,get_model_fc,0.4,0.2,3.0
142,34.676202,0.8482000231742859,0.5,0.5,0.3806317947387695,0.4198002384662628,get_model_fc,0.4,0.2,5.0
143,34.396314,0.8539000153541565,0.5,0.5,0.38014634250005086,0.4109450537919998,get_model_fc,0.4,0.2,
144,34.601845,0.8539000153541565,0.5,0.5,0.3688969838142395,0.40686006507873534,get_model_fc,0.4,,3.0
145,34.643792,0.8464000225067139,0.5,0.5,0.3745090740521749,0.4299456481933594,get_model_fc,0.4,,5.0
146,34.31956,0.8478000164031982,0.5,0.5,0.37796466267903644,0.4141831402301788,get_model_fc,0.4,,
147,34.264741,0.8561999797821045,0.5,0.5,0.3444063091278076,0.3892762687206268,get_model_fc,,,
148,40.644438,0.10000000149011612,1.0,0.0,2.3606864685058593,2.3748349254608154,get_model_conv,-0.1,-0.1,3.0
